City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arlit,NE,2021-06-04 21:00:34,18.7369,7.3853,96.49,7,1,12.55
68,Nanakuli,US,2021-06-04 21:00:34,21.3906,-158.1547,83.1,73,75,9.93
69,Xichang,CN,2021-06-04 21:00:35,27.8964,102.2634,58.75,67,93,1.72
70,Butaritari,KI,2021-06-04 21:00:35,3.0707,172.7902,82.6,68,94,3.94
71,Yumen,CN,2021-06-04 21:00:35,40.2833,97.2,72.48,9,30,11.99
72,Beringovskiy,RU,2021-06-04 21:00:36,63.05,179.3167,37.04,84,98,3.94
73,Tasiilaq,GL,2021-06-04 21:00:36,65.6145,-37.6368,37.56,90,100,2.59
74,Andros Town,BS,2021-06-04 21:00:36,24.7,-77.7667,81.1,72,15,13.44
75,Anadyr,RU,2021-06-04 21:00:37,64.75,177.4833,41.0,65,100,11.01
76,East London,ZA,2021-06-04 21:00:37,-33.0153,27.9116,56.17,59,4,7.29
77,Chimbote,PE,2021-06-04 21:00:37,-9.0853,-78.5783,68.4,76,4,10.63
78,Zahirabad,IN,2021-06-04 21:00:37,17.6833,77.6167,78.58,72,51,3.76
79,Port Hardy,CA,2021-06-04 21:00:38,50.6996,-127.4199,59.18,77,90,4.61
80,Muko,JP,2021-06-04 21:00:38,34.9654,135.7041,63.48,93,100,2.08
81,Les Cayes,HT,2021-06-04 21:00:38,18.2,-73.75,83.28,69,30,12.5
82,Yaan,NG,2021-06-04 21:00:39,7.3833,8.5667,76.33,90,85,5.48
83,Padang,ID,2021-06-04 21:00:39,-0.9492,100.3543,76.32,91,100,3.51
84,Castro,BR,2021-06-04 21:00:39,-24.7911,-50.0119,61.72,79,0,3.18
85,Vaini,TO,2021-06-04 21:00:40,-21.2,-175.2,73.92,66,57,18.59
86,Constitucion,CL,2021-06-04 21:00:40,-35.3333,-72.4167,57.33,81,100,12.68
87,Rosetown,CA,2021-06-04 21:00:40,51.5501,-108.0014,83.98,24,14,2.53
88,Codrington,AU,2021-06-04 21:00:41,-38.2667,141.9667,44.89,74,100,15.21
89,Los Llanos De Aridane,ES,2021-06-04 21:00:41,28.6585,-17.9182,64.15,70,75,16.64
90,Levokumskoye,RU,2021-06-04 21:00:41,44.8219,44.6606,62.11,74,100,2.46
91,New Norfolk,AU,2021-06-04 21:00:42,-42.7826,147.0587,46.58,72,100,1.99
92,Abu Dhabi,AE,2021-06-04 21:00:01,24.4667,54.3667,87.89,77,0,10.11
93,Sitka,US,2021-06-04 21:00:42,57.0531,-135.33,49.95,81,100,7.27
94,Kodiak,US,2021-06-04 21:00:42,57.79,-152.4072,51.3,66,32,2.77
95,Tiksi,RU,2021-06-04 21:00:42,71.6872,128.8694,42.91,82,100,10.71
96,Cabo San Lucas,MX,2021-06-04 20:59:32,22.8909,-109.9124,100.81,55,6,6.13
97,Carnarvon,AU,2021-06-04 21:00:43,-24.8667,113.6333,64.56,46,0,12.08
98,Marsa Matruh,EG,2021-06-04 21:00:43,31.3525,27.2453,69.87,63,0,10.87
99,Kastamonu,TR,2021-06-04 21:00:44,41.5,33.6667,42.62,92,36,4.21
100,Hithadhoo,MV,2021-06-04 21:00:44,-0.6,73.0833,81.5,79,100,14.76
101,Saint Anthony,US,2021-06-04 21:00:44,45.0205,-93.218,97.12,28,1,1.99
102,Thinadhoo,MV,2021-06-04 21:00:45,0.5333,72.9333,82.17,77,100,15.82
103,Guantanamo,CU,2021-06-04 20:57:01,20.1444,-75.2092,86.47,71,78,7.47
104,Banda Aceh,ID,2021-06-04 21:00:45,5.5577,95.3222,76.08,72,100,13.94
105,Merzifon,TR,2021-06-04 21:00:45,40.8733,35.4631,54.86,67,75,0.0
106,Bonavista,CA,2021-06-04 21:00:46,48.6499,-53.1147,49.23,97,100,16.06
107,Mar Del Plata,AR,2021-06-04 21:00:01,-38.0023,-57.5575,58.08,88,99,5.01
108,Upernavik,GL,2021-06-04 21:00:46,72.7868,-56.1549,33.62,78,100,7.58
109,Barrhead,GB,2021-06-04 20:59:38,55.7992,-4.3929,56.73,72,56,5.75
110,Rajshahi,BD,2021-06-04 20:59:53,24.3667,88.6,85.69,65,35,6.87
111,Ponta Do Sol,PT,2021-06-04 21:00:47,32.6667,-17.1,66.83,57,33,4.74
112,Ribeira Grande,PT,2021-06-04 21:00:47,38.5167,-28.7,63.97,83,96,7.76
113,Hay River,CA,2021-06-04 21:00:46,60.8156,-115.7999,65.98,28,59,5.53
114,Belaya Gora,RU,2021-06-04 21:00:47,68.5333,146.4167,69.66,33,100,12.86
115,Chuy,UY,2021-06-04 21:00:48,-33.6971,-53.4616,61.93,98,50,4.34
116,Leningradskiy,RU,2021-06-04 21:00:48,69.3833,178.4167,32.74,86,80,9.04
117,Brae,GB,2021-06-04 21:00:48,60.3964,-1.353,51.71,84,4,5.41
118,Cidreira,BR,2021-06-04 21:00:49,-30.1811,-50.2056,65.08,83,23,8.95
119,Yamethin,MM,2021-06-04 21:00:49,20.4333,96.15,80.69,74,100,5.68
120,Balakhta,RU,2021-06-04 21:00:49,55.38,91.6,52.16,91,100,7.58
121,Itoman,JP,2021-06-04 21:00:50,26.1247,127.6694,82.42,87,75,16.11
122,Vostok,RU,2021-06-04 21:00:50,46.4856,135.8833,48.43,92,77,2.82
123,Punta Arenas,CL,2021-06-04 20:58:36,-53.15,-70.9167,37.11,93,90,1.79
124,Soyo,AO,2021-06-04 21:00:50,-6.1349,12.3689,77.58,89,71,8.41
125,Itoigawa,JP,2021-06-04 21:00:51,37.0333,137.85,64.62,93,100,2.19
126,Clyde River,CA,2021-06-04 21:00:51,70.4692,-68.5914,31.8,88,100,1.7
127,Matara,LK,2021-06-04 21:00:52,5.9485,80.5353,77.5,89,85,9.93
128,Chapais,CA,2021-06-04 21:00:52,49.7834,-74.8492,66.87,27,100,7.54
129,Niquelandia,BR,2021-06-04 21:00:30,-14.4739,-48.4597,75.02,38,34,2.08
130,Cayenne,GF,2021-06-04 21:00:52,4.9333,-52.3333,84.24,81,40,1.99
131,Tezu,IN,2021-06-04 21:00:53,27.9167,96.1667,71.78,84,96,4.52
132,Ploiesti,RO,2021-06-04 21:00:53,44.95,26.0167,62.96,77,100,4.21
133,Batagay,RU,2021-06-04 21:00:53,67.6333,134.6333,71.17,40,97,12.71
134,Broome,US,2021-06-04 21:00:54,42.2506,-75.833,82.18,52,33,1.99
135,Novikovo,RU,2021-06-04 21:00:54,51.1537,37.8879,55.96,93,100,7.2
136,Biltine,TD,2021-06-04 21:00:54,14.5333,20.9167,92.97,12,1,13.29
137,Tebingtinggi,ID,2021-06-04 21:00:55,3.3285,99.1625,73.42,97,100,2.68
138,Kabansk,RU,2021-06-04 21:00:55,52.0486,106.6528,50.49,48,8,0.69
139,Novosergiyevka,RU,2021-06-04 21:00:56,52.0934,53.6528,57.56,55,95,18.52
140,Duzce,TR,2021-06-04 21:00:56,40.8389,31.1639,52.11,90,15,3.4
141,Gamba,GA,2021-06-04 21:00:56,-2.65,10.0,76.69,89,18,5.14
142,Kondinskoye,RU,2021-06-04 21:00:56,59.6481,67.41,46.4,67,33,8.1
143,Jalu,LY,2021-06-04 21:00:57,29.0331,21.5482,84.76,24,0,9.71
144,Palmer,US,2021-06-04 21:00:57,42.1584,-72.3287,81.75,86,100,4.76
145,Vila Franca Do Campo,PT,2021-06-04 21:00:57,37.7167,-25.4333,64.81,74,100,5.44
146,San Cristobal,VE,2021-06-04 20:57:17,7.7669,-72.225,77.18,58,74,5.61
147,Kisangani,CD,2021-06-04 21:00:58,0.5167,25.2,71.31,96,74,1.48
148,Boa Vista,BR,2021-06-04 21:00:58,2.8197,-60.6733,87.78,58,75,5.75
149,Tsiroanomandidy,MG,2021-06-04 21:00:58,-18.7667,46.0333,62.01,74,5,2.91
150,Esperance,AU,2021-06-04 21:00:58,-33.8667,121.9,55.45,69,27,13.22
151,Muriwai Beach,NZ,2021-06-04 21:00:59,-36.8167,174.45,58.39,97,71,7.81
152,Hami,CN,2021-06-04 21:00:59,42.8,93.45,81.27,28,45,16.51
153,Portland,US,2021-06-04 20:58:46,45.5234,-122.6762,78.4,40,80,4.0
154,Kalakamati,BW,2021-06-04 21:00:59,-20.5929,27.3121,49.73,63,0,10.31
155,Nchelenge,ZM,2021-06-04 21:01:00,-9.3451,28.734,72.81,54,40,5.32
156,Wukari,NG,2021-06-04 21:01:00,7.85,9.7833,76.03,88,100,5.99
157,Kloulklubed,PW,2021-06-04 21:01:00,7.0419,134.2556,80.62,80,100,5.57
158,Diapaga,BF,2021-06-04 21:01:01,12.0708,1.7889,87.37,44,53,9.04
159,Kruisfontein,ZA,2021-06-04 21:01:01,-34.0033,24.7314,45.88,79,0,3.71
160,Nador,MA,2021-06-04 21:01:02,35.174,-2.9287,68.25,88,20,6.53
161,Port Lincoln,AU,2021-06-04 21:01:02,-34.7333,135.8667,57.22,84,85,12.37
162,Leninskoye,KZ,2021-06-04 21:01:03,41.7589,69.3864,78.73,24,8,3.38
163,Oranjestad,AW,2021-06-04 21:00:12,12.524,-70.027,83.91,77,100,11.01
164,Kashi,CN,2021-06-04 21:01:03,39.4547,75.9797,78.26,20,0,9.64
165,Sao Filipe,CV,2021-06-04 21:01:03,14.8961,-24.4956,75.56,70,47,15.37
166,Qaqortoq,GL,2021-06-04 21:01:04,60.7167,-46.0333,52.3,70,100,12.39
167,Le Port,RE,2021-06-04 21:01:04,-20.9373,55.2919,73.36,93,5,5.75
168,Luanda,AO,2021-06-04 21:01:04,-8.8368,13.2343,77.0,88,75,8.05
169,Esperanza,DO,2021-06-04 21:01:05,19.5847,-70.9849,85.3,65,30,8.99
170,Enshi,CN,2021-06-04 21:01:05,30.3,109.4833,60.3,84,87,1.25
171,Husavik,IS,2021-06-04 21:01:05,66.0449,-17.3389,52.92,91,100,8.66
172,Chissamba,AO,2021-06-04 21:01:06,-12.1667,17.3333,57.6,41,2,2.15
173,Sadiqabad,PK,2021-06-04 21:01:06,28.3062,70.1307,95.86,31,3,4.65
174,Katsuura,JP,2021-06-04 20:59:10,35.1333,140.3,71.11,89,100,8.19
175,Nhulunbuy,AU,2021-06-04 21:01:06,-12.2333,136.7667,75.81,69,75,10.36
176,Flinders,AU,2021-06-04 21:01:07,-34.5833,150.8552,46.2,81,5,1.01
177,Nioro,GM,2021-06-04 21:01:07,13.35,-15.75,85.89,48,81,15.21
178,Orapa,BW,2021-06-04 21:01:07,-21.2833,25.3667,51.4,52,0,9.33
179,Medicine Hat,CA,2021-06-04 21:01:07,50.0501,-110.6683,86.85,31,39,5.01
180,Boca Do Acre,BR,2021-06-04 21:01:08,-8.7522,-67.3978,86.13,55,100,1.05
181,Thompson,CA,2021-06-04 21:01:08,55.7435,-97.8558,60.96,82,75,17.27
182,Nemyriv,UA,2021-06-04 21:01:08,48.9708,28.8378,52.34,83,10,8.1
183,Francisco Morato,BR,2021-06-04 20:59:44,-23.2817,-46.7453,80.67,68,4,4.41
184,Salisbury,GB,2021-06-04 20:56:35,51.0693,-1.7957,58.51,66,80,5.17
185,Norfolk,US,2021-06-04 20:58:46,42.1668,-71.2495,75.88,91,90,12.66
186,Mende,FR,2021-06-04 21:01:09,44.6667,3.5,48.4,98,98,3.91
187,Belle Glade,US,2021-06-04 21:01:09,26.6845,-80.6676,88.02,61,100,1.3
188,Saint-Joseph,RE,2021-06-04 21:01:09,-21.3667,55.6167,71.96,80,17,8.37
189,Tura,IN,2021-06-04 21:01:10,25.5198,90.2201,75.07,91,35,6.08
190,Chapada Dos Guimaraes,BR,2021-06-04 21:01:10,-15.4606,-55.7497,78.24,33,12,5.5
191,Chaoyang,CN,2021-06-04 21:01:10,41.5703,120.4586,59.02,48,4,6.89
192,Nara,JP,2021-06-04 21:01:10,34.6851,135.8049,65.48,87,100,0.09
193,Strelka,RU,2021-06-04 21:01:11,58.0728,93.0344,44.51,76,97,5.7
194,Muisne,EC,2021-06-04 21:01:11,0.6,-80.0333,79.18,82,83,9.57
195,Oranjemund,NA,2021-06-04 21:01:11,-28.55,16.4333,66.96,24,0,11.63
196,Brecksville,US,2021-06-04 20:58:59,41.3198,-81.6268,82.8,56,19,4.0
197,Belyy Yar,RU,2021-06-04 21:01:12,53.6039,91.3903,58.89,100,100,8.01
198,Raudeberg,NO,2021-06-04 21:01:12,61.9875,5.1352,62.2,86,82,9.69
199,Victoria,HK,2021-06-04 20:57:00,22.2855,114.1577,80.33,85,100,1.01
200,Baghramyan,AM,2021-06-04 21:01:12,40.1934,44.3683,66.99,40,1,5.75
201,Bontang,ID,2021-06-04 21:01:12,0.1333,117.5,81.39,79,20,3.67
202,La Libertad,EC,2021-06-04 20:58:51,-2.2333,-80.9,74.86,78,75,11.05
203,Bilibino,RU,2021-06-04 21:01:13,68.0546,166.4372,59.72,45,100,7.09
204,Byron Bay,AU,2021-06-04 21:00:40,-28.65,153.6167,60.75,79,0,12.35
205,Haines Junction,CA,2021-06-04 21:01:13,60.7522,-137.5108,58.37,33,9,1.63
206,Rajapalaiyam,IN,2021-06-04 21:01:14,9.45,77.5667,79.3,79,100,5.08
207,Totness,SR,2021-06-04 21:01:14,5.8833,-56.3167,79.27,88,34,10.31
208,Killybegs,IE,2021-06-04 21:01:14,54.6333,-8.45,57.45,84,93,10.8
209,Richards Bay,ZA,2021-06-04 21:01:14,-28.783,32.0377,61.7,72,77,7.81
210,Prado,BR,2021-06-04 20:57:50,-17.3411,-39.2208,73.69,88,93,7.87
211,Fushun,CN,2021-06-04 20:58:03,41.8558,123.9233,58.71,74,56,12.35
212,Martin,US,2021-06-04 21:01:15,27.0837,-80.4164,87.96,74,100,7.63
213,North Myrtle Beach,US,2021-06-04 21:01:15,33.816,-78.68,81.28,93,90,12.66
214,Vokhtoga,RU,2021-06-04 21:01:15,58.8147,41.0461,54.25,80,0,3.49
215,Gazli,UZ,2021-06-04 21:01:15,40.1333,63.45,91.96,15,32,5.55
216,Dekernes,EG,2021-06-04 21:01:16,31.0876,31.595,66.6,75,0,5.84
217,Bumba,CD,2021-06-04 21:01:16,2.1833,22.4667,72.43,90,34,0.94
218,Esmeraldas,BR,2021-06-04 21:01:16,-19.7625,-44.3139,74.26,53,0,10.96
