City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
184,Show Low,US,72.28,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
185,Kamaishi,JP,72.55,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
186,Celestun,MX,84.45,broken clouds,20.8667,-90.4,Posada Lilia
188,Arauca,CO,72.86,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
192,Semnan,IR,79.97,broken clouds,35.5729,53.3971,Semnan Tourist Hotel
195,Sao Filipe,CV,73.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
198,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
201,Muroto,JP,78.84,broken clouds,33.2833,134.15,Oota Ryokan
202,Longyan,CN,84.13,broken clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
204,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
207,Jibuti,DJ,85.12,broken clouds,11.5,42.5,Orchid Main Camp Goubet
209,Bilasipara,IN,83.23,broken clouds,26.232,90.2347,Inspection Bunglow
211,Linxi,CN,85.66,broken clouds,39.7,118.4333,Peace Hotel
214,Salinopolis,BR,77.43,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
216,Lazaro Cardenas,MX,82.72,broken clouds,17.9583,-102.2,quinta antigua
217,Mahibadhoo,MV,83.37,broken clouds,3.7833,72.9667,Omadhoo Inn
218,Faanui,PF,80.2,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,Sinnamary,GF,77.27,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
225,Dubai,AE,89.22,broken clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
227,Yarada,IN,89.92,broken clouds,17.65,83.2667,Jeevan
230,Basco,PH,82.26,broken clouds,20.4487,121.9702,Nathaniel's Lodge
231,Hirara,JP,87.66,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
235,North Myrtle Beach,US,78.85,broken clouds,33.816,-78.68,Avista Resort
236,Kahului,US,83.46,broken clouds,20.8947,-156.47,Maui Seaside Hotel
238,Dingle,PH,86.13,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
242,Pontes E Lacerda,BR,74.64,broken clouds,-15.2261,-59.3353,Hotel Bressan
243,Scottsbluff,US,82.83,broken clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
251,Zhezkazgan,KZ,75.61,broken clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
254,Korla,CN,83.25,broken clouds,41.7597,86.1469,Gulisitan Hotel
257,West Bay,KY,82.08,broken clouds,19.3667,-81.4167,Calypso Cove
259,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
263,Carutapera,BR,74.82,broken clouds,-1.195,-46.02,Lidera
268,Airai,TL,72.91,broken clouds,-8.9266,125.4092,Juvinal Martin
273,Solnechnyy,RU,83.88,broken clouds,50.7214,136.6319,Hotel complex Pastoral
275,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
276,Ende,ID,83.8,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
279,Nuqui,CO,75.63,broken clouds,5.7125,-77.2708,Hotel Nuquimar
280,Freeport,US,74.01,broken clouds,40.6576,-73.5832,The Freeport Inn and Marina
281,Baraya,CO,70.48,broken clouds,3.1533,-75.0531,HOTEL LOS ALMENDROS
283,Sukumo,JP,84.36,broken clouds,32.9333,132.7333,Sukumojo
284,Omboue,GA,76.64,broken clouds,-1.5746,9.2618,Hotel Olako
285,Tuy Hoa,VN,82.36,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
286,Seoul,KR,81.97,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
288,Kyren,RU,70.23,broken clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
291,Vila Velha,BR,71.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
292,Manaus,BR,82.89,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
296,Padang,ID,80.98,broken clouds,-0.9492,100.3543,Mercure Padang
303,Senador Jose Porfirio,BR,73.81,broken clouds,-2.5908,-51.9542,Pousada Novo Horizonte
304,Mangrol,IN,85.57,broken clouds,21.1167,70.1167,Hotel The Royal Honours
308,Trincomalee,LK,84.63,broken clouds,8.5711,81.2335,Welcombe Hotel
309,Lubao,PH,85.71,broken clouds,14.9167,120.55,Hacienda Gracia
311,Steamboat Springs,US,72.99,broken clouds,40.485,-106.8317,Steamboat Grand
317,Sibolga,ID,84.15,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
325,Karratha,AU,76.14,broken clouds,-20.7377,116.8463,ibis Styles Karratha
326,Kawanoe,JP,82.8,broken clouds,34.0167,133.5667,Hotel Livemax Iyo Mishima
327,Mayo,US,78.55,broken clouds,38.8876,-76.5119,Resorts Resource Group International
329,Sumbe,AO,74.82,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
331,Zhucheng,CN,80.08,broken clouds,35.9947,119.3975,Fanrong Hotel
332,Shimoda,JP,79.16,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
333,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
334,Nishihara,JP,85.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
335,Axim,GH,78.64,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
337,Huadian,CN,80.15,broken clouds,42.9633,126.7478,Huadian Forestry Bureau
338,Sakakah,SA,76.57,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
339,Namibe,AO,71.35,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
340,Funehiki,JP,78.75,broken clouds,37.4333,140.5833,花の湯
343,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
345,Timbiras,BR,75.72,broken clouds,-4.2553,-43.9406,Casa jaboatao Guimarães
346,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
347,Jacareacanga,BR,74.95,broken clouds,-6.2222,-57.7528,Casa do Ian😎
349,New Ulm,US,84.81,broken clouds,44.3125,-94.4605,Best Western Plus New Ulm
354,Oranjestad,AW,82.35,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
356,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
362,Nanakuli,US,83.98,broken clouds,21.3906,-158.1547,Camp Pālehua
