City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,17.27,broken clouds
80,Lompoc,US,34.6391,-120.4579,61.12,72,1,11.41,broken clouds
81,New Norfolk,AU,-42.7826,147.0587,51.66,70,100,6.98,broken clouds
82,Taoudenni,ML,22.6783,-3.9836,98.47,13,2,9.78,broken clouds
83,Saldanha,ZA,-33.0117,17.9442,51.85,81,3,3.15,broken clouds
84,Ust-Maya,RU,60.4167,134.5333,64.22,55,100,11.72,broken clouds
85,Aldan,RU,58.6031,125.3894,60.46,42,89,5.37,broken clouds
86,Arenillas,ES,41.3471,-2.8462,54.82,71,1,2.59,broken clouds
87,Palu,ID,-0.8917,119.8707,90.21,53,45,2.73,broken clouds
88,Bluff,NZ,-46.6,168.3333,49.8,81,100,4.94,broken clouds
89,Merauke,ID,-8.4667,140.3333,80.22,79,49,7.38,broken clouds
90,Surt,LY,31.2089,16.5887,68.86,83,62,5.97,broken clouds
91,Klaksvik,FO,62.2266,-6.589,50.92,99,100,20.02,broken clouds
92,Snezhnogorsk,RU,69.1933,33.2531,51.58,74,99,7.65,broken clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,73.2,80,100,9.69,broken clouds
94,Mataura,NZ,-46.1927,168.8643,49.48,81,100,1.68,broken clouds
95,Manta,EC,-0.95,-80.7333,76.78,78,75,2.3,broken clouds
96,Butaritari,KI,3.0707,172.7902,82.33,69,92,4.7,broken clouds
97,Puyang,CN,29.4603,119.8861,83.93,76,100,4.09,broken clouds
98,Kitgum,UG,3.2783,32.8867,63.41,67,6,3.78,broken clouds
99,Ipixuna,BR,-1.7625,-48.8043,75.15,98,99,2.33,broken clouds
100,Karakol,KG,42.4907,78.3936,60.91,58,1,4.74,broken clouds
101,Ha Tinh,VN,18.3333,105.9,84.74,71,100,5.37,broken clouds
102,Viedma,AR,-40.8135,-62.9967,54.19,75,59,17.43,broken clouds
103,Ladispoli,IT,41.9537,12.0735,62.96,82,84,3.83,broken clouds
104,Marsh Harbour,BS,26.5412,-77.0636,78.67,74,17,14.32,broken clouds
105,Grootfontein,NA,-19.5667,18.1167,51.37,62,0,4.61,broken clouds
106,Am Timan,TD,11.0297,20.2827,79.57,62,99,3.83,broken clouds
107,Marmaris,TR,36.855,28.2742,73.11,67,0,3.58,broken clouds
108,Victoria,HK,22.2855,114.1577,88.97,88,91,3.0,broken clouds
109,Maceio,BR,-9.6658,-35.7353,74.64,94,75,7.16,broken clouds
110,Dombarovskiy,RU,50.7587,59.5386,67.78,56,73,12.08,broken clouds
111,Sitka,US,57.0531,-135.33,58.84,63,21,4.56,broken clouds
112,Husavik,IS,66.0449,-17.3389,44.51,96,100,6.91,broken clouds
113,Hilo,US,19.7297,-155.09,81.28,86,37,1.99,broken clouds
114,Narsaq,GL,60.9167,-46.05,43.2,66,31,1.03,broken clouds
115,Trinidad,BO,-14.8333,-64.9,71.15,96,66,2.06,broken clouds
